,category,title,instructor,price,numoflectures,rating,reviews
0, ,[할인] [비전공자도 OK] 용돈 벌어주는 나만의 앱 직접 만들어보기,커니,"월 31,800원(5개월)",강의수미정,4.0,"['코딩의 경험이 전혀 없는 상황, 그저 앱 하나 만들어보고 싶다-하는 생각에 수강하게 되었는데, 생각보다 훨씬 유익한 강의였어요. 코딩을 알게 해준 인생강의라고 할까요. ^^ 정말 초보자들을 위해 설치부터 차근차근 따라할 수 있게 강의를 해주셨고, 뭔가 앱의 형태가 나오고 결과물이 나오니까 엄청나게 뿌듯합니다. 중간에 막히는 부분이 분명히 있는데, 선생님은 본인의 일처럼 함께 해결책을 찾아봐주시고, 제가 멈추고 포기하지 않도록 너무 잘 이끌어주셨어요. 피드백도 정말 빨리 바로바로 해주셨습니다. 본업도 있으실텐데 시간 할애를 엄청 많이 해주셨어요. 강의도 시간을 갖고 천천히 따라하다보면 목적에 다다를 수 있도록 잘 짜여져 있습니다. 목소리도 너무 좋으시고 ^^ 코딩과 함께 데이터베이스 연동, 광고 접목시키기, 앱출시 까지 정말 빠질 것 없는 알찬 강의였습니다. 코로나로 우울한 생활이 길어져서 정말 힘들었는데, 클래스를 통해 뭔가에 집중하고 시간을 보내다보니 그런 우울감은 생각할 겨를이 없었어요 ㅎㅎㅎ 저도 직장인인지라 틈틈이 공부를 하느라 시간은 좀 걸렸지만, 결국엔 앱스토어, \n 플레이스토어에 앱출시를 하게 되었습니다. 앱스토어에 출시하는게 쉬운 일은 아니라고들 했었는데, 선생님 덕분에 성공할 수 있었어요. 리젝을 당했을 때에도 함께 고민해주시고 격려해주셨고, 해결법도 알려주셔서 너무 감사드립니다~! 한번의 코딩으로 iOS와 Android 앱을 동시에 출시할 수 있는 안드로이드 스튜디오의 매력도 알게된 좋은 시간이었습니다. 그건 정말 큰 매력인 것 같아요~! 앱을 구상하고 출시해보고 싶다는 분들이 계시면 적극적으로 권하고 싶습니다, 커니님의 강의는 믿고 따라가셔도 된다고 말씀드리고 싶어요~!!! 커니님과는 계속 인연을 이어가고 싶고요, 다른 강의를 런칭하신다면 100% 수강할겁니다! ㅎㅎㅎ 커니님께 다시한번 감사의 말씀 드리고요, 이런 좋은 강의를 알게해주신 클래스101측에도 감사의 말씀을 전합니다. ^^', '선생님 목소리가 좋아서 집중이 잘 됩니다. AMD CPU 사용자들은 처음 세팅을 스스로 찾아서 해야 하는 번거로움이 있긴 하지만 앱을 처음 만들어 보는 입장에서는 혼자서 헤매기 보다는 커리큘럼을 따라 차근차근 할 수 있어 동기부여가 확실히 잘 되는 느낌입니다.', '개발에 대해 잘 알지 못하는 사람이라도 잘 따라올 수 있도록 친철하게 설명해주십니다. 또한 댓글을 통해서 강의 외 궁금한 내용에도 친절하고 빠른 답변을 주십니다.', '재미있어요.. 사실 그 이상 그 이하도 아닌거 같아요.']"
1,게임 개발 · 개발자 라라,[할인] 프로그래밍 스킬업을 위한 C++와 Cocos2d-x를 활용한 캐주얼 게임 개발,개발자 라라,"월 21,800원(5개월)","5개 챕터, 22개 세부강의",0.0,[]
2,Web · 프론트엔드 · 몰입코딩,[할인] 15년 차 웹 개발자가 제대로 알려주는 웹 코딩 입문!,몰입코딩,"월 19,800원(5개월)","8개 챕터, 65개 세부강의",4.3,"['몇몇 부분에 대한 궁금증이 있었는데 코칭권이라는 이름으로만 답을 해주는게 아쉬웠어요.\n전문적인 부분을 물어보는것도 아니고 수업에서 설명이 안되어 있는 부분을 물어보는 건데 이 부분이 아쉬웠어요.', '아직 어렵지만 자세한 설명과 댓글에 질문에도 친절하게 답변해주셔서 포기하지 않을 수 있었습니다. 남은 건 더 잘할 수 있게 연습하는 것 뿐이네요.', '아직 수강을 듣고 있는 중이라 어떤 작품을 만들지는 못했지만, 차근차근 배우며 이 강의를 다 들었을때는 제 목표였던 웹진을 만드는게 가장 큰 소득이라고 생각할 수 있을거 같습니다. 아직 초반이라 모르는 부분도 있지만, 반복 학습을 통하면 가능하지 않을까 조심스레 생각해 봅니다. 꼭 완강해서 목표를 이룰 수 있도록 노력하겠습니다. 강사님, 강의 감사합니다.', '천천히 따라가 보면 누구든지 할 수 있을 것 같아요. ']"
3,시스템 · DevOps · Normaltic,[할인] 노말틱의 해킹 침투 테스트 입문,Normaltic,"월 29,740원(5개월)","10개 챕터, 37개 세부강의",5.0,"['입문 강의로 최고입니다!\n보안이 은근히 생각하는것과 다른걸 많이 배우게 되어 흥미를 빨리 잃게 되는데\n기초도 배우고 실습도 같이 진행하여 지식과 흥미 모두 챙길수 있는 강의입니다.\n오프라인 환경만큼 실습도 쉽게 구성해주셨어요!\n많이 배우고 갑니다~ 새로운 강의 올려주시면 또 들을 의향있습니다.', '이해하기 쉽게 잘 설명해주시고 어떻게 공부하는지도 잘 알려주셔도 재미있습니다.', '어려울 줄 알았는데 직접 따라치고 천천히 하니깐 어렵지 않고 재밌게 했어요!', '해킹의 방향과 전반적인 이해를 돕는데 좋은 강의인 것 같아요 ']"
4, ,"[할인] 개발자가 되고 싶은 당신을 위해, 개발자가 되는 로드맵 A to Z",그랩,"월 34,972원(5개월)",강의수미정,4.2,"['16만원을 지불한 강의인데 분량이 2~3시간 남짓해서 놀랐다. 내용 자체의 정밀함보다 내용에 덧붙힌 외부 자료로 설명을 대체하는 것이 많았다. 강의를 구매하면서 직업군의 세부적인 분류에 따른 역할이나 공부할 때의 로드맵을 잡고자 했는데,  전자는 강의 내용 중 30분 가량에 해당하고 후자는 외부 자료에 정리된 로드맵으로 끝났다. 차라리 로드맵을 분석하면서 왜 그런 순서인지, 개인적인 추천은 무엇인지, 요즘 트렌드는 어떤지 짚어주기라도 했으면 나았겠다. 전반적으로 직업군에 대해 가볍게 훑어보는 짧은 강연에 몇몇 자료를 대신 서치해 준 대가로 16만원은 지나친 가격이다. 강의력 자체만 두고 보아도 중간에 못 미치고, 강의를 성의있게 준비했다는 평가도 주기 어렵다. ', '쉽고 간단하게 구성이 짜여져있어서 좋았고 수업 노트도 알기쉽게 정리돼있어요', '내용도 알차고 비전공자도 다 알아들을 수 있게 구체적으로 설명해주셔서 너무 좋았어요!!!', '개발을 공부하고 싶은데 어떻게 시작할지 모르겠다면 도움이 많이됩니다.']"
5,프로그래밍 언어 · 개발자 라라,[할인] 10년 차 개발자의 [게임 개발/앱 개발/프로그래밍]을 위한 C/C++ 입문,개발자 라라,"월 55,800원(5개월)","6개 챕터, 45개 세부강의",4.9,"['대학 수업을 따라가기 벅차서 수강했습니다. 대학강의에서는 부족한 실전적인 팁들을 같이 알려주셔서 도움이 많이 됩니다. 수업내용도 다 자막이 있어서 편했습니다.', '정성스러운 피드백과 1분 1초도 낭비없이 빽빽한 강의구성으로 도움이 많이 됩니다.\n다만, C언어의 아주 기초적인 부분이나 컴퓨터 구조에 대한 이해는 따로 하셔야 합니다.\n어느정도 기초가 있는 분들이 들으면 더 좋을거 같습니다.', '이론을 실무와 연관지어서 설명해주시기 때문에 굉장히 유익한 클래스라고 생각합니다.', '프로그래밍에 대해 자세하게 배울수 있어서 좋은 시간이였어요!']"
6,모바일 App 개발 · 뮤,[할인] 네이버 개발자 뮤와 함께하는 내인생 첫번째 앱 만들기,뮤,"월 39,900원(5개월)","10개 챕터, 49개 세부강의",3.7,"['기보누설명이 부족한듯요. 자바스크립트 너무ㅜ어혀워요. 프로그래밍 잘 하고 싶어요.', '너무 쉽게 설명한다는 점에서 장점도 있지만 단점도 있는것 같습니다.\n그래도 실제로 작은 프로젝트를 완료해 보는 내용으로 짜여져 있어서 좋은 경험이 되었습니다.', '강의는 입문자도 따라갈수있을 정도라 좋았고\n또 너무 이론이주가 아니라 실습위주라 좋았습니다!\n강의 수강기간이 너무 짧아서 아쉬웠습니다.', '일반인도 쉽게 이해하고 따라할 수 있게끔 설명해 주십니다.']"
7,시스템 · DevOps · 토마토,"[할인] 화이트햇 해킹, IT 취준생과 현직 개발자를 위한 웹 해킹 입문!",토마토,"월 59,160원(5개월)","12개 챕터, 42개 세부강의",0.0,[]
8,데이터 분석 · 데이터 스테이션,비전공자를 위한 쉽게 따라하는 파이썬 데이터 분석 기초,데이터 스테이션,"월 18,700원(5개월)","8개 챕터, 26개 세부강의",0.0,[]
9,데이터 분석 · 잔재미코딩,"[할인] SQL 과 파이썬 데이터 분석 풀패키지, 비트코인, 부동산, 주식도 분석해보기!",잔재미코딩,"월 27,740원(5개월)","12개 챕터, 69개 세부강의",4.9,"[""사실 저는 컴퓨터와는 전혀 상관없는 학과를 공부하였고, 프로그래밍의 '프'자도 모르는 완전 초보입니다. 주변에서 하도 파이썬이란 이름을 많이 듣다 보니 호기심과 궁금한 마음에 독학으로 책도 사보고 했었습니다. 그러나, 책으로는 도저히 이해하기 힘들었습니다. 나름 조회수가 많은 유튜브도 찾아봤었으나, 설명을 하시는 크리에이터마다 난이도나 깊이가 차이가 많았기에 오히려 혼란에 빠지는 입장이었죠... :) 우연찮게 클래스 101에서 본 강의를 발견하였고(특히 제목이 부동산, 코인이라 더욱 끌리게 되는...ㅎㅎㅎ ^^) 망설임 없이 수강을 하였습니다. 저 처럼 파이썬이 뭔지 모르는 입장이라면, 본 강의 과정은 들어볼 만한 내용이라고 말하고 추천드리고 싶네요. 설명이 단계별로 차근차근 이어져 있고, 개념에 대한 설명도 함께 알려주기 때문에 쉽게 이해할 수 있는 과정이라고 보시면 될 것 같습니다. 정말, 단계별로 포기하지 않고 차근차근, 매일 20분씩 강의를 보시면서 따라하신다면 어느 순간 기본적인 파이썬을 다루는 것은 전혀 거리낌이 없으실 것 같네요... 참고로, 저는 별도로 노트를 만들어서 손으로 메모를 해 가면서 과정을 들었습니다. 그리고, 화면을 잠시 중지시켜놓고, 혼자서 설명에 나왔던 코딩내용을 스스로 반복해서 해봤구요,,,그러다보니 루틴하게 들어가는 코딩은 자연스럽게 외워집니다...저는 완전 초보라서 눈으로만 보는 것 보다는 직접 반복으로 해보시는게 가장 낫더라구요. "", '궁금했던점을 아주 쉽게 설명해주셔서 잘 들었습니다.\n\n파이썬 문법도 꼭 필요한것만 가르쳐주셔서, 만약 깊이 있게 배우고 싶다면 추가로 공부하셔야 할것 같습니다.\n\n하지만 강좌에서 가르쳐주시는 부분을 구현하는데는 전혀 부족함이 없고, 일단 설명이 아주 쉬워서 좋았습니다.', '초보자도 쉽게 이해할 수 있게 설명을 하지만 또 내가 스스로 할 수 있게도 해주시고,\n댓글에 상세하게 답글도 달아주셔서 지금까지 올 수 있었습니다. \n반복해서 봐야 숙지가 가능한데 수강 기간이 길어서 부지런히 들으면 원하는 만큼 반복이 가능하겠습니다. ', 'db에 저장된 자료를 파이썬에서 sql 및 pandas로 요리조리 하고 싶은 초보분들께 강추.']"
