,category,title,instructor,price,numofstudents,numoflectures,rating,review,urls
1,웹 개발,Nuxt.js 시작하기,장기효(캡틴판교),55000,320명,총 73개 수업 / 총 6시간 11분,5.0,"""설명이 매우 좋은 강의입니다. Nuxt.js 를 공부 하고 싶은 분들께 추천드립니다.""DELIMITER111 ""최고에요 쭉쭉 들어옵니다.""DELIMITER111 ""vue만써서 처음 부터 환경설정 해줘야하는 부분이많았는데 nuxt 프레임웍을 쓰니 지원해주는것도많고 SSR이 장점이 크네요""DELIMITER111 ""좋아요.. 초보한테요.. ^^""DELIMITER111 ""프론트엔드에 관심이 생기면서 2개월 동안 열심히 공부 중인 대학생입니다! 혼자서 막연하게 공부하다가 이해도 안 되고 너무 힘들었는데 우연히 캡틴 판교님을 접해 지금 강의까지 다 듣고 복습도 하는 중이에요! 덕분에 방향 잘 잡고 공부해 가는 것 같아요ㅜㅜ 진짜 강의들 너무 좋고 요번 nuxt강의도 도움 많이 되었어요 개인적으로 정말 감사드립니다! 앞으로 새로운 강의 나오면 바로 뛰어가서 수강하겠습니다 ㅠㅠ""",https://www.inflearn.com/course/넉스트-시작하기
2,인프라,초보를 위한 쿠버네티스 안내서,subicura,49500,816명,총 33개 수업 / 총 5시간 2분,4.9,"""쿠버네티스는 처음 공부해보는데 이해하기 쉽게 차근차근 설명해주셔서 너무 좋았습니다. 아직 부족하여 반복해서 들어야 하지만 개념은 조금 잡힌 것 같습니다. 좋은 강의 올려주셔서 감사합니다.""DELIMITER111 ""Docker와 Kubernetes를 처음 알게 해준 Subicura님의 강의. 우리나라에서 subicura님만큼 쉽고 이해하기 좋게 설명해주시는 분이 계실까? udemy에 Mumshad 가 있다면 인프런에는 subicura님이 있다! ㅎㅎㅎ""DELIMITER111 ""초급개발자로서 꽤나 여러 강의를 듣고 있지만, 내용 구성과 실행 환경, 사후 Q&A, 목소리, 억양이 다 어우러진다는게 어려운데 전부 만족스럽지 않았나 싶습니다. 가격도 술 한 번 참으면 들을 수 있는 가격이라 합리적이지 않나 생각 되네요. 자료 하나씩 찾아보다가 화나서 인강으로 들었는데 쿠버네티스가 처음이시라면 강의를 수강할 것을 추천드립니다. 소중한 시간을 아낄 수 있게 될 것 같네요. 시간도 길지 않아서 주말 하루에 다 들었지만 반복해서 몇 번 듣지 않을까 싶습니다. 좋은 강의 올려주셔서 감사합니다.""DELIMITER111 ""이해하기 좋게 설명 잘 해주세요~ 나중에 쿠버네티스 중고급과정,  cicd 전체 흐름과 istio, 모니터링 등등 devops에 도움되는 과정도 부탁드려요~!!^^""DELIMITER111 ""아직 전부 듣지는 않았는데 도입부에서부터 설명이 유려하시고 알기가 쉽습니다! 필요한 지식들을 꼼꼼하게 짚어주시고 일단  발표자료 퀄리티가 너무 좋아요! 속도도 딱 적당합니다 ㅎㅎ""",https://www.inflearn.com/course/쿠버네티스-입문
3,프레임워크 및 라이브러리,스프링 MVC 2편 - 백엔드 웹 개발 활용 기술,김영한,121000,3444명,총 129개 수업 / 총 21시간 5분,5.0,"""강의가 재미있었고 좋은 강의를 만들어주셔서 감사합니다 다음강의도 많이 기대가 됩니다!!!!""DELIMITER111 ""결제만 해놓고 못 듣다가 드디어 완강했습니다. 물론 두세번 다시 봐야하겠지만요..ㅎㅎ 이 강의가 나오길 목이 빠져라 기다렸는데 강의를 보면서 든 생각은 정말 정성들여서 준비하셨구나라는 생각이었습니다. 내용도 내용이지만 진행하는데 최대한 편하게 강의자료도 준비해주신거 같습니다. 덕분에 편하게 공부했습니다.  다음 강의도 기대하고 있겠습니다.  오래오래 강의해주세요!""DELIMITER111 ""일에 치여 완강까지 시간이 걸렸지만 이번 강의에서 다루는 내용들도 많은 도움이 되었습니다. 좋은 강의 만드시느라 항상 고생 많으십니다 영한님😘""DELIMITER111 ""강이 로드맵만 읽어봐도 벌써 가슴이 웅장해진다.. 배우고 싶었던 것만  딱딱 골라서 알려주는 강의 혼자서 레퍼런스 읽을 수 있게 해주는 강의 심지어 재밌는 강의  여러분 어서 안 듣고 뭐해요?! 고민하지 마세요 그냥 결제하세요  시간을 돈 주고 사기 힘듭니다! 근데 김영한님 강의는 그걸 해줍니다!""DELIMITER111 ""숨 넘어가기 전에 강의가 나와서 바로 질렀습니다   mvc2편 나오기전에 일단 팀장님 jpa 로드맵  먼저 완강해야지 하고 스프링 데이터 jpa 하고 있었습니다 mybatis 쓰다 jpa 배우니깐 와 신세계다 하고 있었는데  마침 mvc2편 강의가 나와서 잠깐 앞 부분만 보고 jpa로드맵 마저 마치고 다시 mv2편 강의 들어야지 하는데 타임리프가 너무 재밌어서 계속 듣고 있어요 ㅋㅋㅋ  이제 앞으로 나올 강의들 팀장님 납치해서 지하 어디에 묶어 놓고 강의만 찍게 하고 싶을 정도로 기다리기 힘드네요 ㅠㅠ""",https://www.inflearn.com/course/스프링-mvc-2
4,모바일 앱 개발,UIKit - iOS14 실무 가이드 <iOS앱 진짜 개발자 되기>,iOS Developer,88000,187명,총 76개 수업 / 총 26시간 2분,4.8,"""많은 도움됩니다.""DELIMITER111 ""좋은 수업이었습니다. 여러가지 실습을 통하여 테이블뷰나 코어데이터를 접해볼 수 있어 좋았습니다. 다만 아쉬운건 가끔 코드가 viewDidLoad에 모여있어 불편할 때가 많았습니다.""DELIMITER111 ""아직 다 듣지는 않았지만 재미있게 듣고있어요.""DELIMITER111 ""진짜 도움이 많이 됐습니다 감사합니다""DELIMITER111 ""가장 기본적인 내용부터 너무 잘 설명해주셔서 정말 많은 도움을 받고 있어요! 아직 프로젝트 실습까지 내용이 좀 남았는데, 강의 한싸이클 돌리고 나면 ios와 꽤 친해질 것 같아서 기대됩니당 ><  얼른 뭐라도 만들어보고싶어서 손이 근질근질하네요 ㅋㅋ""",https://www.inflearn.com/course/uikit-ios14
5,프레임워크 및 라이브러리,스프링 MVC 1편  - 백엔드 웹 개발 핵심 기술,김영한,99000,4481명,총 72개 수업 / 총 15시간 22분,5.0,"""자바 백엔드 20년 역사의 큰 흐름을 15시간만에 따라갈 수 있는 정말 말도 안 되는 강의네요. 강의 자료를 보자마자, 영한 님께서 바쁜 일상 속에서도 이 강의를 위해 들이신 노력이 고스란히 느껴질 정도였습니다. 혹 나중에 강의들을 압축해서 책으로 출간하신다면 『토비의 스프링』에 이은 스프링 프레임워크의 바이블이 되지 않을까 싶습니다. 이 정도 퀄리티의 강의를 지금도 반복하여 수강할 수 있다는 게 행복합니다. 항상 좋은 강의 열어주셔서 감사합니다.""DELIMITER111 ""Spring Web MVC 의 전체적인 설계 의도를 파악하기 너무 좋은 강의였습니다.  특히 설계 의도를 이해시켜주기 위해서 앞단에서부터 차근차근 코딩을 통해서 직접 알아가는 과정이 진짜 신기했습니다.  여태 김영한 선생님의 모든 강의를 들어봤지만, 이번 MVC 강의가 저는 가장 재밌었습니다 :)  혹시 Spring Web MVC의 구조의 core한 구조에 대해서 전반적으로 알고 싶으신 분들이 있다면 정말로 이 강의를 추천합니다!!!""DELIMITER111 ""완강 후기  ""지금까지 이런 인강은 없었다. 이것은 강의인가 점진적 설계인가"" -<영화> 극한직업 中-(패러디)  기존 영한 님의 어떤 강의보다도 우리가 배우는 기술에 대한 점진적인 기술의 발전을 강의에 녹여서 설명해 주시기 때문에 단지 사용법만을 알려주는 방식보다 이해하기도 쉽고, 기억에도 더 많이 남는 거 같습니다. 또한 이전 기술에 대한 강의 분량도 딱 적당했던 것 같습니다. 과하지도 않았고,  맛보기 수준으로 적지도 않았던 거 같아요. 이렇게 강의하시는 분이 영한님 말고 더 있을까 싶을 정도로 스프링 기술뿐만 아니라 알려주는 실력, 능력이 정말 감탄을 자아냅니다. 이래서 많은 수강생분들이 영한님 강의를 좋아하고 후속 강의를 기다리지 않나 싶습니다.  다음 강의가 출시되면 10번째 오픈하는 강의인데 기념으로 소소하게 유튜브 라이브로 수강생분들과 소통하는 기회가 있으면 재밌을 거 같고 좋겠다는 소소한 바램이 있습니다 ..ㅎㅎㅎ  다음 MVC2편도 기다리고 있겠습니다! 좋은 강의 만들어주셔서 감사합니다~!""DELIMITER111 ""외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한! 외쳐 갓영한!""DELIMITER111 ""다음 스승의 날엔 배민에 카네이션 보내겠습니다...""",https://www.inflearn.com/course/스프링-mvc-1
6,서버 개발,Spring Cloud로 개발하는 마이크로서비스 애플리케이션(MSA),Dowon Lee,88000,1439명,총 156개 수업 / 총 27시간 28분,4.9,"""스프링과 도커 컨테이너 기반 마이크로 서비스에 대한 전반적인 내용을 체험 할 수 있게 해주는 알찬 강의 입니다.  시중에 판매 되고 있는 스프링 마이크로 서비스 관련 책들을 보는것보다 훨씬 더 유익한 강의 라고 생각 됩니다.  AWS , GCP, AZURE 와 같은 클라우드에 private docker repository 구축 및 사용과 쿠버네티스 강의도 있었으면 하는 바램 입니다.  좋은 강의 만들어 주셔서 감사합니다.""DELIMITER111 ""지금껏 fastcampus, inflearn 등 여러 강의 플랫폼에서 많은 강의를 들었는데, 가장 최고의 강의입니다..  들으면서 놀랍기까지 한 강의네요. 강사님의 딕션과 설명의 흐름 그리고 큰 그림.. MSA를 떠나 완벽합니다.""DELIMITER111 ""강의 퀄리티가 정말 높다고 생각합니다. 수주일 동안 인터넷에서 어렵게 모았던 자료들보다 실속있고 디테일한 정보들이 많았고, 설명을 잘 해주셔서 쉽게 적용해볼 수 있었어요. API gateway 관련 내용이 필요해 보고 있지만 나머지 강의들도 기대되고 마저 들어야겠네요.""DELIMITER111 ""강사님 좋은 강의를 만들어 주셔서 감사합니다.  이 강의를 듣기 전까지 클라우드, 마이크로 서비스 등등 관련 책도 보고 얘기는 수도없이 많이 들었고, 만들어도 보았지만, 단편적인 지식들이 머릿속에서 뒤죽박죽이었답니다.   이 강의를 들을수록 머릿속이 깔끔하게 정리되는 느낌입니다. 아직 30%밖에 못들었지만, 계속 다음이 궁금해져 새벽까지 듣곤 합니다.  강의 구성은 챕터별로 왜? 어떻게? 무엇을 해야할지 처음에 명확하게 설명을 해 주신후 실제 코드로 구현해 주십니다. 필요한 엑기스만 뽑아서 해 주시고, 동영상 길이도 적당합니다. 구현 후에도 의도적으로 조금씩 수정을 해 주시면서 중요한 부분을 반복할 수 있도록 유도 해 주시네요.  아직 30% 밖에 못 들었지만 이 강의 후속으로 처음에 강사님이 그리셨던 그림대로 CI/CD, Cluster(쿠버네티스), 모니터링까지 준비해 주시길 간곡히 부탁드립니다. 감사합니다.""DELIMITER111 ""27시간이라는 긴 시간이지만 저같은 스프링 초보자도 스프링 클라우드와 마이크로서비스에 대해 쉽게 이해시켜주는 강의입니다!! 처음부터 끝까지 설명을 잘해주시고 특히 왜 이렇게 하는지 알려주십니다. 그리고 설명이후에 같이 강사님과 해보는 실습을 통해서 반복을 하며 머리속에 콕콕 들어오게 됩니다.  다음으로 준비하시는 강의가 너무 기대됩니다. 빨리 강의만들어주세요!!!""",https://www.inflearn.com/course/스프링-클라우드-마이크로서비스
7,교양 · 기타,비전공자를 위한 넓고 얇은 IT 지식 & 나의 개발 유형 알아보기! <M.B.I.T>,제주코딩베이스캠프,19800,312명,총 57개 수업 / 총 3시간 25분,5.0,"""개발 입문자에게 좋은 가이드가 된 것 같습니다. 감사합니다.""DELIMITER111 ""핵초보자 입장에서 이만한 강의가 없네요. 진짜 종합판그자체입니다. 강의하시는 분의 내공이 엿보이구요... 스스로 공부할수 있는 방법에 대해서도 제시해주신 내용들이 많아서 정말 큰 도움이됐습니다. 최고의 강의인것 같습니다. 고맙습니다.""DELIMITER111 ""막연하게 20대 후반 늦은나이로 ICT쪽으로 입문했는데 앞으로의 갈피를 잡는데 큰 도움이 되었습니다 감사합니다.""DELIMITER111 ""처음인데 쉬워요 공부할께요""DELIMITER111 ""개발자를 꿈꾸는 코린이들에게 유용할 것 같은 강의! 다양한 부분의 개발에 대해서 배우고 실습도 해 볼 수 있는 꿀강..! 직업 로드맵도 있어서 원하는 분야의 개발에 대해서 갈피가 잡히는 느낌이당. 평소에 프로트엔드, 백엔드도 긴가민가 했던 나에게 큰 도움이 된 강의! 나처럼 초보가 아니라도 진지하게 개발자가 되는 것에 대해 생각하고 있다면 큰 도움이 될 듯..!""",https://www.inflearn.com/course/개발-유형-테스트
8,데이터 분석,증권 데이터 수집과 분석으로 신호와 소음 찾기,박조은,89100,507명,총 114개 수업 / 총 21시간 43분,5.0,"""정말 최고의 강의라고 생각합니다!!! 많은 강의를 들어왔었지만 박조은 선생님의 강의처럼 많이 배우고 도움이 된 강의는 처음인거 같아요! 중간중간에 스스로 헷갈리는 문법이 있어서 ""음... 저건 왜 그러지?"" 라고 생각할 때가 있는데, 선생님께서 개념 설명을 해주신 다음에, 영상에서 바로 ""이러이러한 문법은 왜 안되나요? 라는 질문을 주시는 분들이 많은데"" 라고 제가 궁금했던 것들을 그대로 짚어주셔가지고 매번 깜짝깜짝 놀라서 수업을 들었던 기억이 나네요 ㅋㅋㅋㅋ 정말 도움이 많이 되었던 수업이었고 증권 데이터를 가지고 분석해보는 수업에 너무 재미있어서 1달도 안돼서 강의 모두 완료 했습니다! 고민하고 있는 여러분들 모두 후회하지 않을 선택하실꺼에요! 고민하고 있으시면 바로 박조은 선생님 강의 신청하세요!!!! 별 5개!""DELIMITER111 ""Great!""DELIMITER111 ""증권데이터에 대한 기본적인 분석 및 시각화를 학습할수있어 좋았습니다""DELIMITER111 ""파이썬과 판다스 처음 입문자에게 좋은 강의 입니다.""DELIMITER111 ""깔끔한 설명, 잘 정리된 연습자료  최고의 강의입니다""",https://www.inflearn.com/course/증권데이터-수집-분석
9,프로그래밍 언어,고수가 되는 파이썬 : 동시성과 병렬성 문법 배우기 Feat. 멀티스레딩 vs 멀티프로세싱 (Inflearn Original),인프런,60500,647명,총 25개 수업 / 총 7시간 50분,4.9,"""유익합니다.""DELIMITER111 ""정말 좋습니다""DELIMITER111 ""유익한 강의입니다.""DELIMITER111 ""너무 너무 도움이 되는 강의입니다.""DELIMITER111 ""복잡한 개념을 쉽게 설명해 주셔서 고맙습니다.""",https://www.inflearn.com/course/프로그래밍-파이썬-완성-인프런-오리지널
10,프로그래밍 언어,실전 프로젝트로 배우는 타입스크립트,장기효(캡틴판교),55000,1003명,총 78개 수업 / 총 5시간 53분,4.9,"""역시 명강의 입니다. 배우는 사람의 다양한 입장을 고려해서 만든 강의라는게 곳곳에서 느껴져서 좋았습니다. 입문과 실전 10일동안 순삭했네요.ㅎ 이제 찬찬히 꼽씹어 보며 제것으로 만들어 봐야죠~!  개인적인 바램은.. 캡틴판교님 주로 뷰강의를 많이 하시는데 리액트를 다루는 강의도 만들어 주셨으면 하는...  여튼 정말 잘 들었습니다. 감사해요.""DELIMITER111 ""감사합니다. 쏙쏙 이해했지만 항상 사용이 문제겠죠?? 반복 학습 개발 하겠습니다 강의 내용 좋았습니다 다시금 감사합니다""DELIMITER111 ""정말 들으면 들을수록 어떻게 타입스크립트에 다가가야 좀더 자신감이 생길수 있게 접근이 가능할 수 있을지를 고심하신게 느껴지는 강의였습니다.. 정말 타입스크립트를 공부해도 어떻게 사용할지 막막함이 앞서 들었는데 그 막막함을 해결해준 강의였습니다.""DELIMITER111 """"Vue.js 시작하기""부터 항상 믿고 들어왔는데 이번 강의도 배울 내용이 많고 강의 하나하나 너무 알차서 좋았습니다! 추후 Vue.js에 Typescript 사용하는 내용을 담은 강의도 개설하신다고 하셨는데 그전까지 배웠던 Typescript 복습하면서 기대하고 있겠습니다! 항상 늘 좋은 강의 감사합니다!""DELIMITER111 ""타입스크립트 활용법에 더 친숙해질 수 있어서 좋았습니다. 특히 타입 단언을 써야 하는 상황을 DOM과 연관해서 설명해주셔서 충분히 이해할 수 있었습니다. 한 가지 아쉬운 것은 강의 업로드해주신 날짜 이후로 chartjs가 type을 지원하면서 강의 내용과 조금씩 달라지면서 에러가 발생했습니다. 타입스크립트를 어떻게 쓰는지 공부하는데는 무리가 없으니 다른 분들도 꼭 들어보시면 좋을 것 같습니다.""",https://www.inflearn.com/course/타입스크립트-실전
