,title,instructor,price,numoflectures,rating,review_writers,reviews,urls
1,아두이노로 배우는 코딩 - 나도 코딩 할 수 있다!,OhSean,"66,000원",총 1회 3시간,5,"['이보희', '서병욱', 'Scarlet Ko', '오형규', '김남은']","['수업 너무 재미있었어요\n코딩 배우기 전에 전체적인 개념 잡기 좋다는 말에 덜컥 아두이노 키트 부터 샀다가.. 혼자 하려니 너무 막연하고 막막해서 도움 받을 수 있는 곳 이 없을까 하다가 신청하게 됐어요! 진짜 전반적인 개념, 느낌 잡을 수 있다는 말이 무슨말인지 알게 되었어요 그리고 더 심도 있게 아두이노를 만져보고 싶단 욕심이 났습니당 !! 복습하고 혼자 해봐야 좀 더 확실히 머릿속에 자리를 잡겠지만 정말 초보자 분들 한테 도움이 되는 거 같아용 재밌었습니다', '제가 개인적으로 하고 싶었던 프로젝트가 있어서 따로 여러 내용을 준비해 주셨어야 했는데, 경험이 많으신 분으로부터 여러 도움되는 내용을 들을 수 있었습니다. 앞으로 프로젝트 진행에 많은 도움이 될 것 같습니다!', '짧은 시간인지 긴시간인지 모르겟지만, ㅁ여해서 학습하는 동안에는 정말 정신없이 지나갔습니다. 새로운 시도 재미있었습니다. 성실히 해주셨어요 선생님 감사합니다', '코딩과 회로에 대한 지식이 초급수준이였는데 선생님께서 그에맞춰서 이해가 잘 되게 설명을 잘해주셨습니다~직접 회로를 꾸며보고 코드를 짜보면서 원리를 파악해 나갈수 있었습니다. 2-3명 팀수업으로도 진행할 수 있지만 저처럼 1인식으로 맞춤수업 진행도 가능합니다~추천드립니다~!', '키트도 무료로 빌려주시고 스터디룸비도 안받으셨어요\n비전공자도 쉽게 설명해주셔서 재밌누 수업이였어요\n수업 끝나시고 수업자료도 따로 주셔서 집에서 혼자 해볼수도있을꺼같아요ㅎ']",https://taling.me/Talent/Detail/8500
2,춤추는 파이썬 - 4주만에 끝내는 웹 자동화와 크롤링/대구 [파이썬 활용편],Kijun Kwon,"66,000원",총 1회 2시간,5,['KimJaycob'],"['최고의 수업이었습니다. 면접을 앞두고 급하게 수강신청 했습니다. 까다로울 수 있는 요구였는데, 흔쾌히 응해주시고 수업도 진행해주셨습니다. 수업 중 필요한 모든 내용을 알려주시고, 또 차근차근 화면 공유로 알려주셔서 대면 과외보다 훨씬 도움이 많이 되었습니다.\n\n프로그래밍 수업이 유튜브나 인강으로 따라하면 놓치는 부분이 생겨서 굉장히 비효율적입니다. 이렇게 1:1로 수업하니 더할나위 없었습니다. 정말 감사합니다!!!!! 후기 잘 남기지 않는데, 너무 감사해서 깨진 휴대폰으로 결과물 사진까지 같이 올립니다 ㅎㅎ 면접 후에 기회가 된다면 또 뵙겠습니다 감사합니다!!!']",https://taling.me/Talent/Detail/26331
3,"혼자 고민중인 알고리즘 문제, 함께 Java로 풀어드립니다.",김병건,"16,500원",총 1회 1시간,5,['이태훈'],"['제가 갑작스럽게 요청드린 문제도, 바로 라이브코딩으로 보여주시고 문제풀이도 이해가 쉽게 되게끔 그림으로 설명해주셔서 정말 좋았습니다.\n평소에 문제를 풀면서 풀리지 않았던 점들을 귀찮을 정도로 질문 드리고, 다 답변을 얻어서 덕분에 문제풀이에 대한 통찰력을 얻고 갑니다!']",https://taling.me/Talent/Detail/23634
4,현직 빅데이터 엔지니어와 함께하는 빅데이터 Hadoop 입문 클래스 (2회차 진행),서니,"180,000원",총 2회 6시간,5,"['김기진', '김동욱', '은혁진', '김소희']","['필요로 했던 부분에 대해서 명확하게 설명해주셔서 많은 도움이 되었습니다. 너무 유익했던 시간이였습니다.', '수업진행 및 수업자료: 생소한 내용들을 초심자의 눈높이에 맞춘 잘 정리된 자료로 명쾌히 설명해주십니다.\n또한 이론을 바탕으로 직접 AWS을 활용한 실습 화면을 보여주시거나 수강생이 실습하는 화면을 같이 공유하면서 검토해주십니다.\n\n질문사항 및 커리어에 대한 상담능력: 수업 안에서 혹은 수업시간이 아닐 떄에도 질문에 최대한 빠르고 친절하게 응대해주십니다. 그리고 관련 직무에 대해 오해하고 있던 부분이나 취준,이직에 있어 필요한 핵심 부분들을 잘 정리해주셔서 앞으로의 방향설정에도 큰 도움이 되었습니다.\n\n결론: 데이터 분야에 인연이 없으셨던 분, IT 업종 종사자 분들, 취미로 익혀보고 싶으신 분들 등 각자의 베이스를 막론하고 수강할 수 있는 데이터엔지니어링 입문에 최적화된 강의이니 의지만 있으시다면 수업문의 or 수업신청에 주저마시길 바랍니다!', '하둡을 어떻게 설치하고 사용하는지 또 개념에 대해 처음듣는분들도 이해가 잘될만큼 쉽고 재밌게 잘 설명해주시는데 정신 차리니깐 강의가 끝나있네요ㅎㅎ 정말 도움이 많이 되었고 시간가는줄 모르고 수업에 빠져 들었어요! 감사했습니다 강사님~', '튜터님 열정적인 강의 감사합니다!\n하둡이 뭔지 구글링으로 이해하기 어려웠는데 수업 듣고 좀 감이 잡혔습니다 :)\n그리고 실습으로 일부 코드까지 작성할수 있어서 수업 내용이 더 오래 기억에 남을 것 같아요\n기회가 있으면 좀 더 긴 강의 신청해서 하둡 설치까지도 배우겠습니다!']",https://taling.me/Talent/Detail/35421
5,12시간 완성 파이썬 기초반,윤인도,"660,000원",총 6회 12시간,,['-'],['-'],https://taling.me/Talent/Detail/38988
6,[14기모집/선착순 1명!] 형식은 필요없다! 누구나 쉽게 웹 해킹 시작하기!,권현준,"316,800원",총 6회 18시간,4.9,"['문태웅', '김영균', '차현호', '이현성', '임원석']","['보안과 관련돼서 막연한 꿈만 가지고 삽집을 하던 도중 이 강의를 알게 되어 고민 후에 수강하게 되었습니다. 웹 해킹 분야에는 지식이 하나도 없던 제가 6주 후에는 혼자 도움 없이 SQL인젝션을 이용한 워 게임과 XSS를 이용한 워게임을 풀 수 있게 되었습니다. 관련 지식이 전혀 없어도 멘토님께서 다 알려주십니다. 수업 내용만 잘 이해하고 집에서 복습만 해주면 웹 해킹 분야에서 입문 이상의 효과를 볼 수 있었던 강의였습니다. 이뿐만이 아니라 수업이 끝나도 질문은 언제든지 받아주신다고 하시는데 웹 해킹에 입문하시고 싶은신 분들을 위한 최적의 강의입니다.', ""보안 관련 진로를 생각 중이었는데 해킹이나 보안 분야들은 다루는 곳이 없다보니, '해킹을 배우러 전문 기관에 갔을 때 만약 보안분야가 적성에 맞지 않으면 어쩌지?' 라는 고민을 하던 도중 괜찮은 강의를 추천받아서 수강하게 되었습니다. 튜터님께서 최대한 필요한 부분만 잘 요약하시고, 예를 들어서 쉽게 설명을 해주십니다. 컴퓨터 분야에 대해서도 폭 넓게 잘 알고 계셔서 컴퓨터 분야를 생각하는 수강생분들께도 좋은 조언을 해주십니다. 덕분에 진로에 대한 대략적인 계획이 생긴 것 같습니다ㅎㅎ"", '튜터님의 친절하고 자세한 설명과 딱정해진 커리큘럼이 아니라 수강생들의 실력에 맞춰서 튜터님이 수업을 바꿔서 진행해주시는게 좋았습니다.', '현업에 있는 전문성있는 튜터님이 수업을 진행해주셨습니다.\nSQL Injection과 XSS을 배웠으며, 개념설명부터 워게임 풀이까지 수업 이후 혼자 공부할 수 있는 수준까지 바로 끌어올려주는 좋은 강의입니다.\n제가 완전 처음 이 분야를 해보는 입문자임에도 튜터님이 강의내내 열정있게 가르쳐주셔서 짧은 시간안에 많은 내용을 배울 수 있어서 좋았습니다.', '웹해킹을 입문하는데 도움이 되는 클래스였습니다.\n강의를 통해 배운 기법은 2가지인데요. XSS 와 SQL Injection 입니다.\n\n비전공자이거나 네트워크 이론, HTML, PHP, SQL을 잘 알지 못하더라도 수업을 통해서 배우실 수 있습니다.\n\n왜 이런 취약점이 발생하는지, 어떤 식으로 문제를 접근하는지 초심자들도 이해할 수 있게 끈기있고 명쾌하게 설명을 잘 해주십니다.\n\n제 입장에서는 좀 더 깊게 들어가지 못해서 살짝은 아쉽지만 ㅎㅎ\n다시금 웹해킹에 대한 흥미를 얻을 수 있던 시간이었네요.\n\n좋은 강의 감사합니다! :)']",https://taling.me/Talent/Detail/2288
7,[원데이] 프로그래밍이 겁나고 어렵다면?  3시간동안 체계적으로 배우는 C언어 코딩 기초!,박용현,"99,000원",총 1회 3시간,5,"['HY', 'Sungeun 圣恩', '현윤진', '허진', '이죠이']","['탈잉에서 듣는 첫 수업이라 고민이 많았는데 고민한 시간이 무색할만큼 정말 잘해주셨어요!! 커리큘럼에 없는 내용에 대해 계속 질문드리는데도 친절하게 대답해주시고, 관련 내용으로 수업까지 진행했는데 튜터님의 경험만큼 시야가 정말 넓으신게 느껴지더라구요. 수업뿐 아니라 여러가지를 배우고 느낄수 있어서 정말 좋았습니다. 고민하고 계신다면 빠르게 수업 들어보시는걸 추천드려요 :)', '용현 고수님이 커리큘럼에 없는 과외를 부탁드렸는데 잘 준비해주셔서 너무 감사합니다. 친절하게 하나하나 설명해주시고 더불어 바로 코딩을 찾고 직접 고치는 법을 보여주시기 때문에 실전적으로 도움이 되었습니다. 장소도 유연하게 조정해주셔서 편하게 과외를 받을 수 있었습니다.', '매번 수업 때 마다 수업 준비도 철저히 해오시고, 제가 부족한 부분은 따로 더 신경써서 이해할 수 있도록 도와주십니다!\n개념 하나하나 꼼꼼하게 숙지한 후에 넘어가고, 제가 따로 공부하는 부분도 여쭤보면 친절하게 알려주십니다~~ 제가 이해를 못하고 어려워하는 부분이 있으면 다음 시간에 따로 문제를 준비해 오시는 등 많은 도움을 주십니다.\n개념 설명 후 직접 문제를 풀어보는 방식이고 시간이 오래 걸려도 해결할 수 있도록 도와주십니다.\n개념 뿐만 아니라 진로나 다른 부분에 관해서도 상담도 잘 해주시고 도움 주려고 노력하셔서 감사할 때가 많습니다 :)\n쌤 커리큘럼 따라가면 기본적인 실력을 무조건 가져가실 수 있을거라 생각합니다.', '단순한 주입식 수업이 아닌 질답을 주고받는 식으로 수업을 진행하였습니다. 많은 정보와 스킬을 알고있으셔서 큰 도움을 받았습니다. 획일화된 수업보다 모르는 부분, 약점인 부분을 채우고자 하는 분들에게도 추천드립니다!', '문과생이지만 변해가는 사회트렌드에 대비해 프로그래밍에 관심을 갖게되었습니다. 3시간 수업이 정말 알차고 남는게 많은 수업이었습니다. 사실 아는것이 많아도 전달을 잘하는게 쉬운일이 아닌데, 선생님께서는 알고있는 지식을 수강생의 수준에 맞춰 잘 가르치신다는게 느껴졌습니다. 그래서 저같이 비전공자지만 프로그래밍에 관심있으신 분들에게 정말 강추합니다ㅎㅎ 앞으로도 선생님의 커리큘럼 따라가며 잘 배워갈 예정입니다!!']",https://taling.me/Talent/Detail/2787
8,[無 경험자 가능] 하.루.만.에. 데이터분석/딥러닝 대회 입문 #캐글 대회,오정훈,"210,320원",총 4회 8시간,5,['김재휘(Chavo)'],['그저 갓갓... 데이터 입문을 원하시면 꼭 들으세요!'],https://taling.me/Talent/Detail/11963
9,코드컨설팅 - 머신러닝 & 데이터 관련 파이썬 코드 컨설팅,최욱진,"272,800원",총 4회 8시간,5,"['혜림', '이지은', '김시아', '이채은', '한세영']","['친절하시고 꼼꼼하고 성실하게 잘 가르쳐 주십니다!', '튜터님께서 매우 친절하시고, 파이썬과 머신러닝 전반적인 내용에 관한 흥미를 갖게해주셔서 자신감이 많이 생긴것 같아요 ㅎㅎ 추천합니당', 'print(“맨손으로 배웠습니다”)\n\n파이썬의 파도 모르던 제가 이제는 어느정도 알아듣고 응용도 해볼 수 있어서 좋았어요 기계적으로 알려주시는 게 아니라 파이썬을 위한 사고력(?)을 길러주십니다 저처럼 파이썬 입문자들께 아주 좋은 강의인 것 같아요 추천드려요 :-) 무엇보다 친절하고 재밌는 강의에 처음으로 프로그래밍이 재밌는 것 같고 흥미롭게 수업을 진행했어요!!', '새해에는 의지가 불타서 신청했지만 박약이라 오락가락한 학생이었는데도 웃음을 잃지 않고 열과 성으로 가르쳐주십니다 막연하게 시작만 해야지 해야지 하다가 시작했는데 제 눈높이에 맞춰서 수업준비도 잘해주시고 그냥 넘어가는 법이 없어서 저보다 꼼꼼하게 수업진행하셔서 의지박약인 저도 자연스럽게 공부하게 하는 분 파이썬부터 머신러닝 그리고 데이터 까지 원하시는 분야에 커스터마이징 해서 수업하시려는 초보자분들께 추천!', '취준하는 초보자,코딩 젬병임\n질문을 많이하고 대답을 유도하면서 개념설명을 정말 철저하게 해줌\n더 맘에 드는 점은 이해를 할때까지\n물어보고 반복한다는 점임\n그냥 넘어가는 법이 없음\n처음엔 정말 힘듬 코딩적 사고를 잡는 다는 것이. 알아먹을 때까지 해주시니 돈이 아깝지 않음\n그리고 수업도 유두리 있게 진행하고 과제도 요청하면 다 알아서 해주심\n초보자한테 좋은 강의입니당']",https://taling.me/Talent/Detail/16632
10,"이제 귀찮은 일은 전부 컴퓨터한테 시키자, Python 크롤링 & 자동화",JeongWoo  Choi,"264,000원",총 4회 12시간,,['-'],['-'],https://taling.me/Talent/Detail/304
