,category,title,instructor,price,numoflectures,rating,review_writers,reviews,urls
1,웹개발,워드프레스+쇼핑몰 4시간 속성 마스터 - 원데이클래스,파워러닝,"176,000원",총 1회 4시간,5,['블투라군'],['강좌 감사히 잘 들었습니다. 제가 궁금했던 부분들에 대해 자세히 다 알려주셔서 앞으로 워드프레스 업데이트 잘 받아야 겠네요. 그리고 우커머스도 핵심 기능만 사용해도 충분한 것을 알게 됐습니다. 테마 선택 사항도 몰랐던 부분을 알게 되어서 도움이 되었습니다. 감사합니다!'],https://taling.me/Talent/Detail/5474
2,웹개발,워드프레스로 홈페이지 - 쇼핑몰 - 포트폴리오 제작하기,hansol lee,"210,000원",총 1회 3시간,4.9,"['쩌니', '김현정', '김나령', '송용진', '신민재']","['너무 친절하고 좋으셨어요 :) 도움 많이 받았습니다!', ""선택한 테마 문제도 있어고 개인 사정도 있어서 4번에 걸쳐 수업 마무리 했는데 한솔튜터님 수업 진짜 감동이에요ㅎ 저는 워드프레스 혼자 할 수 있겠지라고 생각하고 호스팅, 도메인 구입하고 유료테마까지 야심차게 골라서 설치했는데 거기서부터 막혀서 고민하다가 수업 신청했거든요. 그래서 초기 세팅은 지나가고 튜터님이랑 같이 애증의 테마 탐색하면서 진행했어요. 처음에 온라인으로 진행하는거라 걱정했는데 화면공유하면서 따라하는 형식으로 해서 충분했구요. 수업 끝나면 영상 보내주시니까 그거 보면서 복습 가능합니다. 힌솔 튜터님 최대 장점은 수업 후에도 최대한 저 스스로 운영할 수 있도록 알려주세요. 제 테마가 예쁜데 어설픈 이상한 테마여서 코드로 수정했었는데 그 전에 제일 간단하고 효율적인 방법이 없나 고민하고 코드의 경우도 어떤식으로 진행된건지 설명하면서 입력하니까 전혀 어렵지 않고 재밌습니다. 그리고 사이트 제작 경험이 많으셔서 그런지 제가 원하는 목적, 방향에 맞게 분위기, 배치, 폰트같은 디자인 요소도 같이 고민해주셔서 좋았어요.(전 '그냥 냅둬도 괜찮을것 같아요' 라고 슬쩍 포기하려 했는데 튜터님이 더 세심 꼼꼼ㅎㅎ) 어제 마무리하고 보는데 진짜 너무 마음에 들고 수업 듣기 정말 잘한거 같아요!"", '워드프레스를 난생 처음 들어서 막막했는데 그런 사람들도 어려움없이 잘 따라오도록 가르쳐주십니다. 워드프레스에 대해 아예 모르는데 사이트를 만들어야 하시면 강력 추천합니다. 문외한인 저도 멋진 포트폴리오 사이트를 제작했습니다 ㅎㅎ\n강의 끝나고 혼자 하다가 모르는 부분이 있어 질문했는데 그 질문도 친절하고 빠르게 답변해주셔서 도움이 많이 됐습니다.\n저는 홈페이지를 한번 더 제작할 일이 생겨도 다시 한번 꼭 들을 것 같아요.', '정말 친절하게 알아듣기 쉽게 설명해주셔서 기억에 많이 남았습니다. 홈페이지 작업의 전반적인 과정에 대해서도 잘 알게 되었습니다. 완성도를 위해서 조금이라도 더 알려주실려고 노력해주셔서 덕분에 홈페이지 잘 만들게 되었습니다. 강사님께 정말 감사하고 다른 분들에게 강추합니다!!!', '선생님이 상세히 설명도 잘해주시고 질문하나하나 잘 얘기해주셔서 좋았어요~ 수업들으니 아무것도 모를때보다 개념이 잡히고 차근차근 할 용기가 생깁니다~']",https://taling.me/Talent/Detail/2636
3,웹개발,쌀 팔다 6개월만에 개발자 된  비법,Byungwook  Kim,"30,000원",총 1회 3시간,4.9,"['임승환', '이준호', '이도이', '차예은', '헐크']","['친절하게 잘 도와주셨어요.^^', '망설이시거나 고민되시는 분들은 꼭 들으시길 바랍니다.', '개발자로서 커리어를 준비중이신 분들께 꼭!!!! 추천합니다ㅎㅎ 망설이지 말고 꼭 들어보세요!!!!', '개발과 전혀 상관없는 인문학을 공부하고 있는 대학생입니다. 제가 공부하고 있는 것이 확실한 직업과 연결되는 전공은 아니어서 진로 관련해서 고민이 많았습니다. 그렇게 오랫동안 진로 고민을 하던 와중에 IT라는 분야가 눈에 들어왔습니다. 주변 사람들의 추천도 있었고 여러 광고를 통해서도 IT라는 분야에 관심을 갖게 되었습니다. 그래서 마음을 먹고 준비하고자 정보를 찾아보니 인터넷 속에 정보가 정말 많다는 것을 알게되었습니다. 하지만 아이러니하게도 정보가 너무 많다보니 어떤 것을 어떻게 선택하고 어디서부터 시작해야할지 참 막막했었습니다. 그렇게 이런저런 정보를 찾다가 튜터님의 강의를 발견하고 아 이거다! 라는 생각에 바로 신청을 했습니다. 수업 전부터 기대를 많이 했었는데 기대 그 이상으로 많은 도움이 되었던 수업입니다. 개발자가 되는 비법에 대해 A부터Z까지 들을 수 있었던 정말 알찼던 수업이었습니다. 개발자라는 직업에 대해 망설임이 있었던 마음이 강의 덕분에 확신으로 변할 수 있었고 튜터님의 강의를 바탕으로 차근차근히 잘 준비해보면 될 것 같다는 생각이 들었습니다. 개발자라는 직업에 대해 관심을 막 가지게 되신 분이라면 꼭 들어보시길 강추드립니다!', '학교는 건축공학과를 나왔고 건축 일을 하다가 나와의 적성과 일이 마음에 들지 않아 현재는 전혀 전공과 다른 직업으로 일을 하고 있습니다. 그러다 서점에 들러 여러 IT개발서적을 보게 되었고 이와 관련된 직업이나 어떠한 일을 함에 있어서 이제는 IT라는 분야는 우리 삶의 깊숙히 들어와 있다 생각하고 있었습니다. 그리고 나도 과연 IT개발자라는 직업을 할 수 있을까 라는 생각을 하게 되었고 우연히 탈잉에서 저와 비슷하게 다른 분야에서 빠르게 6개월만에 개발자 된 비법 강의를 보게 되었습니다. 저는 그 과정이 매우 궁금 했으며 꼭 들어봐야 한다고 생각을 하고 결정을 하게 되었습니다. 강의를 듣고나서 제 결정이 틀리지 않았다는 생각을 하였고 저와 같이 IT개발자라는 직업을 어떠한 과정으로 그것도 매우 빠르고 정확하게 해야 하는지를 알려주셔서 저한테는 너무나 큰 도움이 되었습니다. 인터넷에는 정말 많은 정보가 있음에도 불구하고 그것이 맞는지 틀린지를 정확히 알기 어렵고 신뢰가 가지 않아 받아 드리는게 매우 힘들었고 주위에 IT개발자로 일을 하고 있는 사람이 전혀 없기에 저한테는 매우 도움되는 강의 였다고 생각합니다. 요즘 많은 IT개발자에 대한 강의학원이나 사이트가 있는데 결코 작은 돈도 아니고 큰 돈으로 배움이라는 것을 선택하고 인생에 있어서 매우 귀중한 시간을 소비하게 되는데 그 전에 ""쌀 팔다 6개월만에 개발자 된 비법"" 강사님의 강의를 먼저 들어보시는 것을 강력하게 추천 드립니다. 저는 이제 어떠한 준비를 해야 하고 언제 시작을 해야 하고 어떻게 해야 하는지를 알게 되었기에 강사님에게 정말 감사드린다는 말씀 드립니다. 앞으로도 지금 처럼 좋은 강의를 만들어 주시면 감사하겠습니다. ^^ 항상 건강하시고 앞으로 궁금한거 있으면 자주자주 물어보도로 하겠습니다.^^ 감사합니다. 강사님']",https://taling.me/Talent/Detail/14945
4,웹개발,"html,css기초를 끝냈으면 페이지를 만들어보세요(코딩,퍼블리싱)",배가영,"264,000원",총 4회 8시간,5,['조은지'],"['최고의 1:1 수업입니다! 저는 코딩을 안다고 생각해왔지만, 늘 부족함을 느꼈었어요. 가영쌤의 맞춤 과외를 받고 나니 속이 다 시원하네요! 넘넘 감사합니다!']",https://taling.me/Talent/Detail/33286
5,웹개발,"주에 2시간씩만 투자해서 html&css 퍼블리싱에 도전해보세요!(코딩,웹페이지제작)",배가영,"220,000원",총 4회 8시간,0,['-'],['-'],https://taling.me/Talent/Detail/31240
6,웹개발,비전공자를 위한 프론트엔드(React)/퍼블리싱 수업! - 개발 아는 디자이너가 되어보자!,이정윤,"202,400원",총 4회 8시간,0,['-'],['-'],https://taling.me/Talent/Detail/7481
7,웹개발,워드프레스 4시간 속성 마스터 - 원데이클래스,파워러닝,"176,000원",총 1회 4시간,4.6,['Dic JW'],['수업에 만족합니다.\n자세하게 설명해주시고 수업 가격도\n적정한것 같습니다'],https://taling.me/Talent/Detail/20250
8,웹개발,워드프레스 기초부터 쇼핑몰까지 5시간 클래스,파워러닝,"220,000원",총 1회 5시간,5,['육영서'],['워드프레스에 대하여 전반적으로 알 수 있었고 재미있게 알려주셔서 잘 배울수 있었습니다. 최신테마와 기획하는 방법들에 대한 팁도 알 수 있어 도움이 되었습니다.\n좋은수업 감사합니다^^'],https://taling.me/Talent/Detail/22937
9,웹개발,"웹, 서버, 데이터베이스를 혼자서 개발 가능하도록 해드립니다!",홍정민,"176,000원",총 4회 8시간,0,['-'],['-'],https://taling.me/Talent/Detail/16151
10,웹개발,개발을 전혀 몰라도 개발자로 만들어 드립니다. 가능합니다.,홍정민,"240,000원",총 6회 12시간,0,['-'],['-'],https://taling.me/Talent/Detail/26355
