,제목,가격,강사,URL,카테고리,리뷰
0,HTML5 & CSS3 기초 문법 올인원,무료,개발자 이도해,https://edu.goorm.io/lecture/28488/html5-css3-기초-문법-올인원,웹 프로그래밍 - 프로그래밍,[]
1,컴퓨터 GUI 앱을 만들면서 tkinter 배우기,무료,행보칸코딩,https://edu.goorm.io/lecture/28428/컴퓨터-gui-앱을-만들면서-tkinter-배우기,프로그래밍 - 프로그래밍 기초,[]
2,[하루10분|Web-App] 생애최초 웹프레임워크 Ruby on Rails,무료,판다코딩,https://edu.goorm.io/lecture/28494/하루10분-web-app-생애최초-웹프레임워크-ruby-on-rails,웹 프로그래밍 - 프로그래밍,[]
3,실전!웹사이트제작 Step By Step! (Basic 강좌 : 쌩초보 코스),"₩10,000",J.young,https://edu.goorm.io/lecture/28099/실전-웹사이트제작-step-by-step-basic-강좌-쌩초보-코스,프로그래밍 - 프로그래밍 기초,[]
4,실전!웹사이트제작 Step By Step! (클론코딩 : 포메인사이트제작 - 풀페이지),"₩28,000",J.young,https://edu.goorm.io/lecture/28100/실전-웹사이트제작-step-by-step-클론코딩-포메인사이트제작-풀페이지,웹 프로그래밍 - 프로그래밍,[]
5,실전!웹사이트제작 Step By Step! (클론코딩 : crew a la Mode 사이트제작 - 반응형웹),"₩28,000",J.young,https://edu.goorm.io/lecture/28057/실전-웹사이트제작-step-by-step-클론코딩-crew-a-la-mode-사이트제작-반응형웹,웹 프로그래밍 - 프로그래밍,[]
6,퇴근후 텐서플로: Basic,무료,퇴근후딴짓,https://edu.goorm.io/lecture/28058/퇴근후-텐서플로-basic,프로그래밍 - 인공지능,['친절한 설명 👍 굳!!']
7,입문자를 위한 CSS 기초 강의,무료,유노코딩,https://edu.goorm.io/lecture/27976/입문자를-위한-css-기초-강의,웹 프로그래밍 - 프로그래밍,['ㅇ']
8,입문자를 위한 HTML 기초 강의,무료,유노코딩,https://edu.goorm.io/lecture/27971/입문자를-위한-html-기초-강의,웹 프로그래밍 - 프로그래밍,['너무 친절하고 자세하게 설명해주셔서 이해가 잘되고 너무 유익한 강의같습니다!']
9,Vuetify Admin Template 만들기 - 실전편,무료,짐코딩 GYM CODING,https://edu.goorm.io/lecture/27961/vuetify-admin-template-만들기-실전편,웹 프로그래밍 - 프로그래밍,[]
10,Vuetify Admin Template 만들기 - 기본편,무료,짐코딩 GYM CODING,https://edu.goorm.io/lecture/27955/vuetify-admin-template-만들기-기본편,웹 프로그래밍 - 프로그래밍,[]
11,[애플 공식 교재] iOS 앱 만들기 Part2,"₩38,500",코더스하이,https://edu.goorm.io/lecture/26757/애플-공식-교재-ios-앱-만들기-part2,프로그래밍 - 모바일 프로그래밍,['좋은 강의 감사합니다']
12,Jupyter Notebook으로 시작하는 Python,무료,박범진,https://edu.goorm.io/lecture/26535/jupyter-notebook으로-시작하는-python,프로그래밍 - 프로그래밍 기초,['잘 수강합니다']
13,[저자 직강] Do it! HTML/CSS/JS 웹 표준의 정석,무료,이지스퍼블리싱,https://edu.goorm.io/lecture/26571/저자-직강-do-it-html-css-js-웹-표준의-정석,웹 프로그래밍 - 프로그래밍,['알아듣기 쉽게 친절하게 설명해주시네요^^']
14,넘파이 마스터 클래스,"₩35,640",Shin's Lab,https://edu.goorm.io/lecture/26505/넘파이-마스터-클래스,프로그래밍 - 인공지능,[]
15,김버그의 UI 개발 부트캠프 - 경력같은 신입으로 레벨업,"₩50,000",김버그,https://edu.goorm.io/lecture/25681/김버그의-ui-개발-부트캠프-경력같은-신입으로-레벨업,웹 프로그래밍 - 프로그래밍,"['사랑합니다,,, 김버그님,, 버그님께서는 제 인생을 구원하셨어요.  저만 듣고 싶으면서도 동네방네 소문내고 싶은 강의입니다.']"
16,"가볍게 시작하는 C언어, 라이트 C",무료,범고래의 SW 공작소,https://edu.goorm.io/lecture/25515/가볍게-시작하는-c언어-라이트-c,프로그래밍 - 프로그래밍 기초,"['5강 째 듣고 있는데, 이렇게 초보자를 위해 무료로 강의를 열어주셔서 감사드립니다.\n교재도 딱 필요한 기본적인 내용만 컴팩트하게 들어있어 좋습니다. 강의 또한 예제 위주로 진행해 주셔서 이해가 잘 됩니다.\n앞으로도 잘 부탁드립니다!']"
17,빅데이터분석기사 필기 2021,"₩160,000",핵집,https://edu.goorm.io/lecture/26125/빅데이터분석기사-필기-2021,프로그래밍 - 데이터 추출/분석,[]
