,제목,가격,강사,평점,URL
0,HTML5 & CSS3 기초 문법 올인원,무료,개발자 이도해,5.0,https://edu.goorm.io/lecture/28488/html5-css3-기초-문법-올인원
1,컴퓨터 GUI 앱을 만들면서 tkinter 배우기,무료,행보칸코딩,5.0,https://edu.goorm.io/lecture/28428/컴퓨터-gui-앱을-만들면서-tkinter-배우기
2,[하루10분|Web-App] 생애최초 웹프레임워크 Ruby on Rails,무료,판다코딩,5.0,https://edu.goorm.io/lecture/28494/하루10분-web-app-생애최초-웹프레임워크-ruby-on-rails
3,실전!웹사이트제작 Step By Step! (Basic 강좌 : 쌩초보 코스),"₩10,000",J.young,0.0,https://edu.goorm.io/lecture/28099/실전-웹사이트제작-step-by-step-basic-강좌-쌩초보-코스
4,실전!웹사이트제작 Step By Step! (클론코딩 : 포메인사이트제작 - 풀페이지),"₩28,000",J.young,0.0,https://edu.goorm.io/lecture/28100/실전-웹사이트제작-step-by-step-클론코딩-포메인사이트제작-풀페이지
5,실전!웹사이트제작 Step By Step! (클론코딩 : crew a la Mode 사이트제작 - 반응형웹),"₩28,000",J.young,0.0,https://edu.goorm.io/lecture/28057/실전-웹사이트제작-step-by-step-클론코딩-crew-a-la-mode-사이트제작-반응형웹
6,퇴근후 텐서플로: Basic,무료,퇴근후딴짓,5.0,https://edu.goorm.io/lecture/28058/퇴근후-텐서플로-basic
7,입문자를 위한 CSS 기초 강의,무료,유노코딩,5.0,https://edu.goorm.io/lecture/27976/입문자를-위한-css-기초-강의
8,입문자를 위한 HTML 기초 강의,무료,유노코딩,5.0,https://edu.goorm.io/lecture/27971/입문자를-위한-html-기초-강의
9,Vuetify Admin Template 만들기 - 실전편,무료,짐코딩 GYM CODING,0.0,https://edu.goorm.io/lecture/27961/vuetify-admin-template-만들기-실전편
10,Vuetify Admin Template 만들기 - 기본편,무료,짐코딩 GYM CODING,0.0,https://edu.goorm.io/lecture/27955/vuetify-admin-template-만들기-기본편
11,[애플 공식 교재] iOS 앱 만들기 Part2,"₩38,500",코더스하이,5.0,https://edu.goorm.io/lecture/26757/애플-공식-교재-ios-앱-만들기-part2
12,Jupyter Notebook으로 시작하는 Python,무료,박범진,5.0,https://edu.goorm.io/lecture/26535/jupyter-notebook으로-시작하는-python
13,[저자 직강] Do it! HTML/CSS/JS 웹 표준의 정석,무료,이지스퍼블리싱,4.9,https://edu.goorm.io/lecture/26571/저자-직강-do-it-html-css-js-웹-표준의-정석
14,넘파이 마스터 클래스,"₩35,640",Shin's Lab,0.0,https://edu.goorm.io/lecture/26505/넘파이-마스터-클래스
15,김버그의 UI 개발 부트캠프 - 경력같은 신입으로 레벨업,"₩50,000",김버그,5.0,https://edu.goorm.io/lecture/25681/김버그의-ui-개발-부트캠프-경력같은-신입으로-레벨업
16,"가볍게 시작하는 C언어, 라이트 C",무료,범고래의 SW 공작소,4.6,https://edu.goorm.io/lecture/25515/가볍게-시작하는-c언어-라이트-c
17,빅데이터분석기사 필기 2021,"₩160,000",핵집,0.0,https://edu.goorm.io/lecture/26125/빅데이터분석기사-필기-2021
18,ESXi 가상 인프라 구축과 보안 솔루션을 활용한 이상징후 탐지 모니터링,"₩198,000",보안프로젝트,0.0,https://edu.goorm.io/lecture/26302/esxi-가상-인프라-구축과-보안-솔루션을-활용한-이상징후-탐지-모니터링
