,제목,가격,강사,URL
0,"[🔥혜택 연장] 저자직강, 입문자를 위한 데이터 분석 준전문가(ADsP) 자격증 따기","월 19,800원(5개월)",데이터 라떼,https://class101.net/products/TZXrPtZXgt5YIo5vQytu
1,[🔥혜택 연장] [비전공자도 OK] 용돈 벌어주는 나만의 앱 직접 만들어보기,"월 25,800원(5개월)",커니,https://class101.net/products/ivyFm4s7ct39qsUa8Nf3
2,[🔥혜택 연장] C#으로 시작하는 프로그래밍 입문 & 프로그램 만들기,"월 15,800원(5개월)",세상의모든코딩,https://class101.net/products/AFvjSgVZ9h9qWZHASOS3
3,[🔥혜택 연장] 15년 차 웹 개발자가 제대로 알려주는 웹 코딩 입문!,"월 17,800원(5개월)",몰입코딩,https://class101.net/products/9131eDgx0mdOAt8VKlPC
4,[🔥혜택 연장] 프로그래밍 스킬업을 위한 C++와 Cocos2d-x를 활용한 캐주얼 게임 개발,"월 19,800원(5개월)",개발자 라라,https://class101.net/products/5CxzolqswWWb7mGMMEUr
5,"[🔥혜택 연장] Python 101: 매일 30분, 40일 동안! LV. 1 파이썬 기초 프로젝트","월 13,800원(5개월)",Python101,https://class101.net/products/gHSzZDSOVmqb07I32chR
6,[🔥혜택 연장] 네이버 개발자 뮤와 함께하는 내인생 첫번째 앱 만들기,"월 37,900원(5개월)",뮤,https://class101.net/products/lFw0O4E6KJPDPdhF192N
7,비전공자를 위한 쉽게 따라하는 파이썬 데이터 분석 기초,"월 18,700원(5개월)",데이터 스테이션,https://class101.net/products/yFzXJt5lSLawQhex71nt
8,[💣오늘의 특가] 10년 차 개발자의 [게임 개발/앱 개발/프로그래밍]을 위한 C/C++ 입문,"월 47,800원(5개월)",개발자 라라,https://class101.net/products/kSa7H0nxsl63s7kXAT3D
9,"[🔥혜택 연장] 파이썬 첫걸음부터 풀패키지, 잔재미코딩의 자동화 프로그램 만들기!","월 25,740원(5개월)",잔재미코딩,https://class101.net/products/xYzEJ7cXkumFGexsdAI6
